SNo,Date,StartupName,IndustryVertical,SubVertical,CityLocation,Investorname,InvestmentnType,AmountinUSD,Remarks,State
1792,21-04-2016,mishTag,Consumer Internet,"Style, Fashion Discovery Mobile app",New Delhi,"M&Y Partners, SVG Media, Anthil Ventures & others",Seed Funding,N/A,nan,Delhi
1793,21-04-2016,Advanced Structures India,Auto,Automotive Design and Engineering company,Bangalore,GirnarSoft,Private Equity Round,N/A,nan,Karnataka
1794,22-04-2016,Licious,eCommerce,Mobile based Meat ordering App,Bangalore,Mayfield India II Management Ltd,Private Equity Round,3000000,nan,Karnataka
1795,22-04-2016,Knolskae,Consumer Internet,Educational Gamification & Simulation platform,Bangalore,"Inventus Capital Partners, HR Fund",Private Equity Round,N/A,nan,Karnataka
1796,22-04-2016,Druva,Technology,Converged Backup & Data Protection Solutions for Enterprises,Pune,"NTT Finance, Telephone Corporation",Private Equity Round,N/A,nan,Maharashtra
1797,22-04-2016,TOKO Innovation Studios,Consumer Internet,Children\xe2\x80\x99s Entertainment Games & Products,New Delhi,Indian Angel network,Seed Funding,450000,nan,Delhi
1798,25-04-2016,Commut,Consumer Internet,Shuttle Service Provider,Hyderabad,50K Ventures,Seed Funding,200000,nan,Telangana
1799,25-04-2016,intouchapp,Consumer Internet,Contact Management Mobile App,Pune,Blume Ventures,Seed Funding,N/A,nan,Maharashtra
1800,25-04-2016,Dropkaffe,Food & Beverage,Ready-to-Drink Beverage Producer,Bangalore,"GrowthStory, Apurva Salapuria, Hitesh Oberoi, Sidharth Pansari, Nirupa Shankar",Seed Funding,550000,nan,Karnataka
1801,26-04-2016,Transerv,Consumer Internet,Digital Payments platform,Mumbai,"IDFC SPICE Fund, Micromax Informatics",Private Equity Round,15000000,nan,Maharashtra
1802,26-04-2016,ClearTax,Consumer Internet,Online filing of Tax returns,Bangalore,"Max Levchin, Scott Banister",Private Equity Round,1300000,nan,Karnataka
1803,26-04-2016,Roposo,eCommerce,Social Fashion ECommerce Discovery platform,Gurgaon,Bertelsmann India Investments,Private Equity Round,15000000,nan,Haryana
1804,27-04-2016,MilkBasket,Consumer Internet,Micro Grocery Delivery Platform,Gurgaon,EVC Ventures,Seed Funding,500000,nan,Haryana
1805,27-04-2016,CareonGO,Consumer Internet,Online Pharmacy,Mumbai,"Farooq Oomerbhoy, Anupam Mittal, Anand Mittal, Ravi Garikipati, Vibhu Garg, Singapore Angel Network, Konglo Ventures",Seed Funding,N/A,nan,Maharashtra
1806,27-04-2016,RailYatri,Consumer Internet,Train Related Information portal,Noida,"Nandan Nilekani, Helion Ventures, Omidyar Networks, Blume Ventures",Private Equity Round,N/A,nan,Uttar Pradesh
1807,27-04-2016,ICHR,Consumer Internet,Mobile based Children health Information app,New Delhi,Undisclosed Investors,Seed Funding,450000,nan,Delhi
1808,27-04-2016,Murgency,Consumer Internet,Medical Emergency Response App,Mumbai,Axilor Ventures,Private Equity Round,N/A,nan,Maharashtra
1809,28-04-2016,The Wedding Brigade,Consumer Internet,Online Wedding Information Portal,Mumbai,Blume Ventures & Other unnamed Investors,Seed Funding,600000,nan,Maharashtra
1810,28-04-2016,DocsApp,Consumer Internet,Online Doctor Discovery & Chat platform,Bangalore,"Rebright Partners, Anand Rajaraman, Venky Harinarayan",Private Equity Round,1200000,nan,Karnataka
1811,29-04-2016,Impact Guru,Consumer Internet,Online Crowdfunding platform for NGOs & Social Projects,Mumbai,"RB Investments, Fundnel",Seed Funding,500000,nan,Maharashtra
1812,29-04-2016,LetReach,eCommerce,ECommerce SAAS Solutions,New Delhi,vCommission,Private Equity Round,100000,nan,Delhi
1815,01-03-2016,DriveU,Consumer Internet,Chauffeurs Discovery for private car owners,Bangalore,Unitus Seed Fund,Seed Funding,N/A,nan,Karnataka
1816,01-03-2016,Gympik,Consumer Internet,"Fitness Centres, Gym Discovery online marketplace",Bangalore,RoundGlass Partners,Private Equity Round,N/A,nan,Karnataka
1817,01-03-2016,Testbook,Consumer Internet,Online Test Preparation Platform,Mumbai,S Chand & Co,Private Equity Round,N/A,nan,Maharashtra
1818,01-03-2016,IQlect,Technology,Big Data Analytics Platform,Bangalore,"Lip-Bu Tan, Michael Marks, Nicolas Braithwaite",Private Equity Round,N/A,nan,Karnataka
1819,02-03-2016,MoMark,Consumer Internet,Mobile Wallet Aggregation platform,Noida,YourNest Angel Fund,Private Equity Round,600000,nan,Uttar Pradesh
1820,02-03-2016,Skedool,Consumer Internet,AI based Office Assistant Mobile App,Mumbai,"Kludein LLC\\nPhanindra Sama, Narayan Ramachandran, Pranav Pai",Seed Funding,N/A,nan,Maharashtra
1821,02-03-2016,Systemantics,Technology,Industrial robots maker,Bangalore,"Nandan Nilekani, Accel Partners",Private Equity Round,1400000,nan,Karnataka
1822,03-03-2016,Vertuals,Technology,Audio Visual Digital Content creators for Brands,Mumbai,Dino Morea,Seed Funding,N/A,nan,Maharashtra
1823,03-03-2016,Imarticus Learning,Education,Financial Services & Analytics Education Institute,Mumbai,"Blinc Advisors, Amit Nanavati, Tashwinder Singh, Taranjit Jaswal, Amit Khanna",Private Equity Round,1000000,nan,Maharashtra
1824,03-03-2016,Shouut,Consumer Internet,Social Discovery Mobile app,New Delhi,Undisclosed Investors,Seed Funding,500000,nan,Delhi
1825,04-03-2016,TinyStep,Consumer Internet,Parenting Social Network Platform,Bangalore,Matt Glickman,Private Equity Round,N/A,nan,Karnataka
1826,04-03-2016,Aahaa,ECommerce,Office Products Super Store,Chennai,"YourNest Angel Fund,",Private Equity Round,1000000,nan,Tamil Nadu
1827,04-03-2016,Arcatron Mobility,Technology,Smart wheelchair Design and Development,Pune,"Sudhir Mehta, Anoop Hingorani",Seed Funding,N/A,nan,Maharashtra
1828,04-03-2016,FTCash,Consumer Internet,Mobile Payments Platform,Kolkata,IvyCap Ventures,Seed Funding,150000,nan,West Bengal
1829,04-03-2016,Civilsdaily,Consumer Internet,Civil Services News Aggregator,New Delhi,Manoj Kumar & Other undisclosed investors,Seed Funding,N/A,nan,Delhi
1830,04-03-2016,Zappka,Consumer Internet,Mobile App discovery and review platform,Gurgaon,"Daman Soni, Rajat Gupta & Others",Seed Funding,100000,nan,Haryana
1831,04-03-2016,Tarusa World,ECommerce,Handicraft products eTailer,Mumbai,Mohit Gulati,Seed Funding,N/A,nan,Maharashtra
1832,04-03-2016,medECUBE,Healthcare,Healthcare related Services provider,Gurgaon,Artiman Ventures,Private Equity Round,4000000,nan,Haryana
1833,07-03-2016,N.O.W,Consumer Internet,Bike Taxi Service & Hyperlocal Delivery App,Noida,"Ruchirans Jaipuria, Anuj Sanghi",Seed Funding,500000,nan,Uttar Pradesh
1834,07-03-2016,Ninjacart,ECommerce,B2B marketplace for Farmers & Retailers,Bangalore,"Accel Partners, Qualcomm Ventures, M&S Partners, Zop Smart",Private Equity Round,3000000,nan,Karnataka
1835,07-03-2016,Reach,Consumer Internet,Cross Platform P2P file sharing mobile app,Bangalore,"Rebright Partners, Sol Primero, Sudhir Anandarao, Ankur Warikoo, Ankur Singla",Seed Funding,500000,nan,Karnataka
1836,07-03-2016,Vanity Cube,Consumer Internet,Hyperlocal Beauty Services platform,New Delhi,Unicorn Ventures,Seed Funding,250000,nan,Delhi
1837,07-03-2016,Wooplr,ECommerce,Curated Fashion ECommerce portal,Bangalore,"Naveen Tewari, Abhay Singhal, Amit Gupta, Piyush Shah, Raghunandan G, Rajiv Mehta",Seed Funding,N/A,nan,Karnataka
1838,07-03-2016,Medidaili,Consumer Internet,Medical Support service platform,Bangalore,Undisclosed private investors,Seed Funding,100000,nan,Karnataka
1839,08-03-2016,Finomena,Technology,Credit Worthiness Big Data Analytics,New Delhi,Matrix Partners India,Private Equity Round,N/A,nan,Delhi
